,jop_title,company_name,location,info_and_skills,type
0,Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt ",Full TimePart TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI),Full TimePart Time
1,Data Scientist “Mathematics/Physics”,Dafa -,"Cairo, Egypt ",Full TimeExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Business Objects · Computer Science · D3 · Data Mining · Gurobi · Information Technology (IT) · Mathematics · Python,Full Time
2,Senior Data Analyst - Cairo,Confidential -,"Cairo, Egypt ",Full TimeExperienced · 5 - 9 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data · Google Analytics · Marketing · Management · MS Office · RSC · Analysis,Full Time
3,Data Warehouse Engineer,ITS  -,"Kuwait City, Kuwait ",Full TimeExperienced · 10+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Data Warehouse · Engineering · Computer Science · Computer Engineering · Information Technology (IT) · Banking · Oracle,Full Time
4,Senior Data Analyst,Alarabia Group -,"10th of Ramadan City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · BI Developer · Computer Science · developer · Information Technology (IT) · Power · Power BI,Full Time
5,Data Analyst,Gila Electric -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Accounting/Finance · IT/Software Development · Analyst/Research · Analysis · business · Computer Science · Commerce · analytical · Communication skills · Analyst,Full Time
6,Data Analyst,Hands of Hope Physical Therapy & Wellness -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 18 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Analyst · Data · Data Analysis · Data Analyst · Information Technology (IT) · Tableau · SPSS,Full Time
7,Network & Data Engineer -Second Line Support,Confidential -,"Obour City, Cairo, Egypt ",Full TimeExperienced · 7 - 10 Yrs of Exp · males_only · IT/Software Development · Manufacturing/Production · Engineering - Telecom/Technology · · CCNA Security · Veeam · SCDPM · Engineering · Technical Support · Information Technology (IT) · Troubleshooting,Full Time
8,Data Scientist,Confidential -,"Riyadh, Saudi Arabia ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · Hadoop · Information Technology (IT) · Machine Learning · Naive Bayes · Programming,Full Time
9,Senior Data Scientist,Fixed Solutions -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · APIs · Computer Science · Engineering · Information Technology (IT) · Java · Programming · Software,Full Time
10,Data Engineer,Cilantro -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Science · Data Analysis · Data Analytics · Data Engineering · Data · Database · Information Technology (IT),Full Time
11,Data Center Engineer,Perfect Presentation -,"6th of October, Giza, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Computer Engineering · Information Technology (IT),Full Time
12,Data Profiler - 3 Months Internship,Webhelp -,"New Cairo, Cairo, Egypt ",InternshipEntry Level · 0 - 1 Yrs of Exp · Administration · Business Development · IT/Software Development · Computer Science · Data Entry · Customer Support · Microsoft Office · Customer Service · Customer Care,Internship
13,Data Engineers / Senior (Multinational Company),Hala Consulting  -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · back-end · Computer Science · Data · Software Development · Software Engineering · Architecture · AWS,Full Time
14,Data Analyst - Quality Assurance Department,IdealRatings -,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · Accounting/Finance · Quality · Analyst/Research · Finance · Quality Assurance · Economic Statistics · Skills · Detail Oriented · QA · English,Full Time
