,Model,Year,Show_Room,Mileage,Specs,Price
0,Porsche 911 Carrera S,2008,Sana Signal,"95,000 KM",   Automatic   gold   3.60 Lt.   6 Cylinder   TurboCharged   brown,"41,047 USD"
1,Jeep Grand Cherokee Limited L,2021,Mawater City,0 KM,   Automatic   Silver   3.60 Lt.   6 Cylinder   Naturally Aspirated   Black,"52,067 USD"
2,Ford F150 Raptor,2017,Mawater City,"64,000 KM",   Automatic   Maroon   3.50 Lt.   6 Cylinder   TurboCharged   Black & Blue,"46,832 USD"
3,Dodge Charger Gt,2022,Sana Signal,100 KM,   Automatic   Red   3.60 Lt.   6 Cylinder   Naturally Aspirated   Black,"43,802 USD"
4,Dodge Charger RT,2022,West Bay,900 KM,   Automatic   gray   5.70 Lt.   8 Cylinder   Naturally Aspirated   red,"35,538 USD"
5,Jeep Grand Cherokee S,2020,Mawater City,"61,900 KM",   Automatic   Black   3.60 Lt.   6 Cylinder   Naturally Aspirated   Black,"46,557 USD"
6,Range Rover Vouge HSE Supercharged,2017,Mawater City,"107,000 KM",   Automatic   Blue   3.00 Lt.   6 Cylinder   Supercharged   Beige,"33,885 USD"
7,Dodge Ram 1500,2021,Mawater City,"44,000 KM",   Automatic   Gray   5.70 Lt.   8 Cylinder   Naturally Aspirated   Gray,"57,576 USD"
8,Dodge Ram TRX 6.2L Supercharged,2021,Mawater City,"6,000 KM",   Automatic   Gray   6.20 Lt.   8 Cylinder   Supercharged   Black,"43,802 USD"
9,Nissan Patrol SE,2015,Mawater City,"103,000 KM",   Automatic   Gray   5.60 Lt.   8 Cylinder   Naturally Aspirated   Beige,"43,802 USD"
10,Chevrolet Tahoe RST,2020,West Bay,"35,000 KM",   Automatic   white   6.20 Lt.   8 Cylinder   Naturally Aspirated   brown,"43,802 USD"
11,Dodge Charger GT,2022,West Bay,0 KM,   Automatic   white   3.60 Lt.   6 Cylinder   Naturally Aspirated   black,"65,841 USD"
12,Dodge Charger GT,2022,West Bay,0 KM,   Automatic   red   3.60 Lt.   6 Cylinder   Naturally Aspirated   black,"43,802 USD"
13,Dodge Charger GT,2022,West Bay,0 KM,   Automatic   black   3.60 Lt.   6 Cylinder   Naturally Aspirated   black,"65,841 USD"
14,Dodge Ram 1500 Rebel,2022,Mawater City,0 KM,   Automatic   Silver   5.70 Lt.   8 Cylinder   Naturally Aspirated   Red & Black,"65,841 USD"
15,Dodge Charger GT,2022,Mawater City,0 KM,   Automatic   Gray   3.60 Lt.   6 Cylinder   Naturally Aspirated   Black,"49,312 USD"
16,Dodge Ram 1500 Rebel,2022,Mawater City,0 KM,   Automatic   Gray   5.70 Lt.   8 Cylinder   Naturally Aspirated   Black,"43,802 USD"
17,Dodge Ram Rebel,2022,Sana Signal,100 KM,   Automatic   Black   5.70 Lt.   8 Cylinder   Naturally Aspirated   Black,"20,111 USD"
18,Porsche Cayenne Turbo,2015,Sana Signal,"52,000 KM",   Automatic   Black   4.80 Lt.   8 Cylinder   TurboCharged   Cappuccino,"76,860 USD"
19,Dodge Charger GT,2022,Sana Signal,100 KM,   Automatic   Grey   3.60 Lt.   6 Cylinder   Naturally Aspirated   Black,"38,293 USD"
20,Fiat 500 X,2021,Mawater City,"10,000 KM",   Automatic   White   1.40 Lt.   4 Cylinder   Naturally Aspirated   Black,"65,841 USD"
21,Lotus Evora GT,2022,Mawater City,0 KM,   Automatic   Red   3.50 Lt.   6 Cylinder   Supercharged   Red,"120,937 USD"
22,Chevrolet Camaro RS,2020,Mawater City,"28,000 KM",   Automatic   Purple   3.60 Lt.   6 Cylinder   Supercharged   Purple,"65,841 USD"
23,Maserati Levante Q4,2020,Mawater City,"51,000 KM",   Automatic   Blue   3.00 Lt.   6 Cylinder   TurboCharged   Red,"65,841 USD"
24,Mercedes Benz GLE53 AMG,2022,Mawater City,"10,000 KM",   Automatic   Black   3.00 Lt.   6 Cylinder   TurboCharged   Red,"19,009 USD"
25,Dodge Ram Rebel,2022,West Bay,0 KM,   Automatic   gray   5.70 Lt.   8 Cylinder   Naturally Aspirated   black,"44,904 USD"
26,Dodge Ram Rebel,2022,West Bay,0 KM,   Automatic   black   5.70 Lt.   8 Cylinder   Naturally Aspirated   black,"18,458 USD"
27,Nissan Patrol Super Safari,2005,West Bay,"89,000 KM",   Automatic   grey   4.80 Lt.   6 Cylinder   Naturally Aspirated   red,"41,047 USD"
28,GMC Sierra AT4,2021,Mawater City,"58,000 KM",   Automatic   Black   5.30 Lt.   8 Cylinder   Naturally Aspirated   Black,"49,312 USD"
