,jop_title,company_name,location,type,links
0,Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt ",Full TimePart Time,https://wuzzuf.net/jobs/p/6EdqURmRczoK-Data-Science-Instructor-EpsilonAI-Cairo-Egypt?o=1&l=sp&t=sj&a=data%20science|search-v3|hpb
1,Data Scientist “Mathematics/Physics”,Dafa -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/bRZ7uIbexSQa-Data-Scientist-“MathematicsPhysics”-Dafa-Cairo-Egypt?o=2&l=sp&t=sj&a=data%20science|search-v3|hpb
2,Data Warehouse Engineer,ITS  -,"Kuwait City, Kuwait ",Full Time,https://wuzzuf.net/jobs/p/7aAnJajW6GRA-Data-Warehouse-Engineer-ITS-Kuwait-City-Kuwait?o=3&l=sp&t=sj&a=data%20science|search-v3|hpb
3,Senior Data Analyst - Cairo,Confidential -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/R7KdIv7dCm0z-Senior-Data-Analyst---Cairo-Cairo-Egypt?o=4&l=sp&t=sj&a=data%20science|search-v3|hpb
4,Senior Data Analyst,Alarabia Group -,"10th of Ramadan City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/TWguALrIS6vT-Senior-Data-Analyst-Alarabia-Group-Cairo-Egypt?o=5&l=sp&t=sj&a=data%20science|search-v3|hpb
5,Network & Data Engineer -Second Line Support,Confidential -,"Obour City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/o9ntjhmKwbz5-Network-Data-Engineer--Second-Line-Support-Cairo-Egypt?o=6&l=sp&t=sj&a=data%20science|search-v3|hpb
6,Data Analyst,Gila Electric -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/adeG14H7rqQA-Data-Analyst-Gila-Electric-Cairo-Egypt?o=7&l=sp&t=sj&a=data%20science|search-v3|hpb
7,Data Analyst,Hands of Hope Physical Therapy & Wellness -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/9AAaTU2msaG5-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt?o=8&l=sp&t=sj&a=data%20science|search-v3|hpb
8,Data Scientist,Confidential -,"Riyadh, Saudi Arabia ",Full Time,https://wuzzuf.net/jobs/p/OjuPwsoJjnOC-Data-Scientist-Riyadh-Saudi-Arabia?o=9&l=sp&t=sj&a=data%20science|search-v3|hpb
9,Senior Data Scientist,Fixed Solutions -,"Sheraton, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/PVAeMhWwvA6Q-Senior-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=10&l=sp&t=sj&a=data%20science|search-v3|hpb
10,Data Engineer,Cilantro -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/Vd4JAvFk3kzv-Data-Engineer-Cilantro-Cairo-Egypt?o=11&l=sp&t=sj&a=data%20science|search-v3|hpb
11,Data Center Engineer,Perfect Presentation -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/GCjdeXgdcmQf-Data-Center-Engineer-Perfect-Presentation-Giza-Egypt?o=12&l=sp&t=sj&a=data%20science|search-v3|hpb
12,Data Profiler - 3 Months Internship,Webhelp -,"New Cairo, Cairo, Egypt ",Internship,https://wuzzuf.net/internship/WI6D8retv6ak-Data-Profiler---3-Months-Internship-Webhelp-Cairo-Egypt?o=13&l=sp&t=sj&a=data%20science|search-v3|hpb
13,Data Engineers / Senior (Multinational Company),Hala Consulting  -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/bImU6Lr0L1ch-Data-Engineers-Senior-Multinational-Company-Hala-Consulting-Cairo-Egypt?o=14&l=sp&t=sj&a=data%20science|search-v3|hpb
14,Data Analyst - Quality Assurance Department,IdealRatings -,"Heliopolis, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/SmiRP57Qnyx1-Data-Analyst---Quality-Assurance-Department-IdealRatings-Cairo-Egypt?o=15&l=sp&t=sj&a=data%20science|search-v3|hpb
15,Data Center Network Engineer,Confidential -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/fD8sx3t6uEzs-Data-Center-Network-Engineer-Giza-Egypt?o=16&l=sp&t=sj&a=data%20science|search-v3|hpb
16,Senior Data Scientist,BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/jX5wf4UC6hGY-Senior-Data-Scientist-BBI-Consultancy-Cairo-Egypt?o=17&l=sp&t=sj&a=data%20science|search-v3|hpb
17,Data Engineer - KSA,Confidential -,"Riyadh, Saudi Arabia ",Full Time,https://wuzzuf.net/jobs/p/HdxnQ56kyO8v-Data-Engineer---KSA-Riyadh-Saudi-Arabia?o=18&l=sp&t=sj&a=data%20science|search-v3|hpb
18,Senior Data Engineer- Banha,Z2 Data -,"Qalubia, Egypt ",Full Time,https://wuzzuf.net/jobs/p/gPlkgoEtHL4N-Senior-Data-Engineer--Banha-Z2-Data-Qalubia-Egypt?o=19&l=sp&t=sj&a=data%20science|search-v3|hpb
19,Senior Data Analyst,Z2 Data -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/ecDQZn7zPGxQ-Senior-Data-Analyst-Z2-Data-Cairo-Egypt?o=20&l=sp&t=sj&a=data%20science|search-v3|hpb
20,Data Analyst - Banha,Z2 Data -,"Banha, Qalubia, Egypt ",Full Time,https://wuzzuf.net/jobs/p/5JCxxhUwHrzn-Data-Analyst---Banha-Z2-Data-Qalubia-Egypt?o=21&l=sp&t=sj&a=data%20science|search-v3|hpb
21,Junior Data Analyst,Z2 Data -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/vRmBDfFqeBXN-Junior-Data-Analyst-Z2-Data-Cairo-Egypt?o=22&l=sp&t=sj&a=data%20science|search-v3|hpb
22,Data Analyst,Arma Foods  -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/3ZTNoLhqBc6T-Data-Analyst-Arma-Foods-Cairo-Egypt?o=23&l=sp&t=sj&a=data%20science|search-v3|hpb
23,Data Analyst| MIS,GlobeMed Egypt -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/UZjhvK3rVYOC-Data-Analyst-MIS-GlobeMed-Egypt-Cairo-Egypt?o=24&l=sp&t=sj&a=data%20science|search-v3|hpb
24,Data Scientist,Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/yvKLvGcoRMNa-Data-Scientist-Seoudi-Supermarket-Giza-Egypt?o=25&l=sp&t=sj&a=data%20science|search-v3|hpb
